rpm,throttle,egt,cht,oil_temp,egt_residual,cht_residual,label
3929.94,0.7643,1001.82,475.69,195.96,46.72,22.63,OVERHEATING
3220.34,0.4865,797.69,359.79,153.31,44.79,28.05,OVERHEATING
3988.72,0.8113,1020.36,496.32,201.16,34.16,24.59,OVERHEATING
3729.09,0.691,901.2,419.25,179.22,0.12,-1.4,NORMAL
3498.97,0.6049,837.45,385.25,194.45,-0.42,2.53,LUBRICATION_ISSUE
3677.95,0.6467,915.74,419.54,178.2,43.79,16.37,OVERHEATING
3260.39,0.5055,805.83,357.58,157.66,39.53,17.8,OVERHEATING
3100.44,0.4309,718.08,313.33,172.32,4.52,5.2,LUBRICATION_ISSUE
3995.14,0.7952,969.6,471.55,194.97,-7.26,5.43,NORMAL
4088.71,0.8283,1007.22,488.66,230.03,5.82,7.81,LUBRICATION_ISSUE
4187.66,0.8603,1029.19,497.99,218.11,3.65,2.66,LUBRICATION_ISSUE
2768.04,0.3165,633.27,256.3,125.18,4.98,-0.67,NORMAL
2859.04,0.3255,636.19,265.58,125.89,-2.08,2.62,NORMAL
3119.42,0.4549,755.74,333.3,149.32,26.85,15.96,OVERHEATING
2945.5,0.3882,674.91,292.67,166.66,-5.27,4.56,LUBRICATION_ISSUE
2797.34,0.3396,640.87,268.27,129.86,-2.75,2.09,NORMAL
4056.37,0.8094,1015.25,483.43,202.15,26.76,10.34,OVERHEATING
3320.92,0.5159,777.82,343.46,155.75,2.22,-1.9,NORMAL
4006.69,0.8075,986.33,477.48,212.31,1.47,6.57,LUBRICATION_ISSUE
3793.7,0.7307,929.76,441.47,206.49,1.63,4.6,LUBRICATION_ISSUE
4074.35,0.8261,1000.14,479.67,201.18,0.77,0.05,NORMAL
4243.62,0.8818,1045.96,504.83,198.87,4.68,0.06,NORMAL
3755.15,0.7069,910.07,428.3,182.16,-1.85,1.15,NORMAL
3544.71,0.6066,842.65,388.51,193.61,1.42,3.77,LUBRICATION_ISSUE
4076.67,0.8152,1033.52,486.08,204.55,40.58,10.31,OVERHEATING
3098.91,0.4339,719.5,317.69,165.73,4.2,8.51,LUBRICATION_ISSUE
3542.85,0.6307,857.62,396.4,188.28,2.05,3.06,LUBRICATION_ISSUE
3574.13,0.6171,881.65,411.57,170.56,32.67,22.18,OVERHEATING
4386.12,0.937,1086.89,530.39,200.89,5.4,1.49,NORMAL
3869.74,0.7532,987.2,462.22,191.19,41.79,14.97,OVERHEATING
3173.9,0.4625,773.31,337.58,148.72,37.11,15.86,OVERHEATING
4137.7,0.8574,1046.48,519.43,200.74,25.15,26.63,OVERHEATING
3440.62,0.5602,811.7,364.68,163.13,3.55,-0.21,NORMAL
4260.85,0.8999,1056.57,517.35,221.87,3.56,5.54,LUBRICATION_ISSUE
2876.83,0.3551,657.46,271.45,129.92,0.55,-2.69,NORMAL
4033.14,0.8216,988.69,476.96,201.98,-5.91,0.21,NORMAL
4091.4,0.8379,1009.29,492.51,223.38,1.97,8.11,LUBRICATION_ISSUE
3486.89,0.584,827.05,375.54,163.3,2.33,0.71,NORMAL
3481.42,0.5856,825.88,374.3,164.59,0.44,-0.97,NORMAL
3023.8,0.4002,721.35,312.39,143.14,30.02,17.59,OVERHEATING
3035.35,0.4064,698.54,299.59,141.08,2.96,2.24,NORMAL
3909.19,0.7529,948.11,449.94,190.38,0.92,1.63,NORMAL
2816.03,0.3466,646.35,271.19,132.18,-2.42,1.93,NORMAL
4243.46,0.8996,1050.85,513.51,199.06,-1.07,2.36,NORMAL
3919.01,0.7841,993.04,474.03,194.6,26.65,14.19,OVERHEATING
3302.8,0.4916,792.19,346.89,157.29,32.09,10.83,OVERHEATING
3431.75,0.5532,799.66,366.95,191.27,-3.85,4.84,LUBRICATION_ISSUE
4031.14,0.7945,979.28,473.7,194.27,1.01,6.74,NORMAL
3918.58,0.7665,955.97,456.89,212.21,0.12,3.38,LUBRICATION_ISSUE
2973.87,0.4031,737.45,325.02,140.9,46.87,30.67,OVERHEATING
3319.19,0.5296,824.79,376.77,160.82,41.09,26.56,OVERHEATING
3566.79,0.6202,847.04,393.06,196.39,-3.42,2.78,LUBRICATION_ISSUE
2854.16,0.3471,643.69,267.41,131.33,-7.27,-3.17,NORMAL
3789.58,0.7138,920.48,440.28,212.07,2.71,9.62,LUBRICATION_ISSUE
3794.48,0.7234,925.36,437.51,187.11,1.58,3.24,NORMAL
3278.65,0.5152,777.92,352.91,183.19,4.84,9.06,LUBRICATION_ISSUE
3157.68,0.4438,748.47,335.28,150.19,24.31,20.78,OVERHEATING
3466.54,0.5864,828.33,372.84,165.07,3.14,-2.28,NORMAL
3505.9,0.5968,835.29,386.84,180.49,1.91,6.81,LUBRICATION_ISSUE
3326.05,0.5133,803.83,366.91,156.25,29.55,22.34,OVERHEATING
3062.58,0.4315,711.62,307.79,138.66,-0.41,0.57,NORMAL
4256.11,0.9081,1054.18,512.4,200.45,-3.46,-2.19,NORMAL
3539.06,0.5962,834.32,378.87,165.2,-0.34,-1.93,NORMAL
4240.65,0.9027,1049.41,512.33,201.17,-4.22,0.15,NORMAL
3254.95,0.5099,771.26,339.64,153.57,2.56,-1.59,NORMAL
3886.42,0.7533,987.25,465.08,190.53,40.98,17.32,OVERHEATING
3802.3,0.7233,950.06,448.65,187.84,25.97,14.19,OVERHEATING
3464.54,0.5896,865.44,390.43,165.43,38.43,14.22,OVERHEATING
4129.41,0.8374,1045.47,503.69,207.87,36.55,18.34,OVERHEATING
3244.65,0.4625,743.45,321.13,145.96,3.73,-2.7,NORMAL
3717.71,0.6938,928.9,439.93,183.31,26.76,18.65,OVERHEATING
3100.35,0.4562,736.26,325.57,175.83,7.54,8.34,LUBRICATION_ISSUE
3208.7,0.4714,743.86,337.36,169.42,0.6,11.4,LUBRICATION_ISSUE
3367.14,0.5665,839.23,388.74,166.4,30.97,23.78,OVERHEATING
3181.91,0.475,743.96,324.34,147.84,-0.14,-2.12,NORMAL
4200.14,0.8924,1049.12,505.33,202.44,3.69,-1.93,NORMAL
4164.41,0.885,1042.39,510.72,218.93,3.18,7.19,LUBRICATION_ISSUE
3897.32,0.758,952.77,453.46,207.24,3.11,3.66,LUBRICATION_ISSUE
3858.74,0.7395,943.0,454.74,210.25,6.37,12.76,LUBRICATION_ISSUE
3189.43,0.4615,742.35,331.47,179.22,6.0,9.66,LUBRICATION_ISSUE
3841.56,0.7217,972.93,457.0,185.91,47.83,21.94,OVERHEATING
3605.99,0.6573,919.79,433.02,177.52,45.1,28.21,OVERHEATING
3348.11,0.5453,794.29,356.48,159.53,-0.28,-0.27,NORMAL
4016.44,0.815,1035.92,488.38,203.79,46.1,14.49,OVERHEATING
