timestamp,rpm,throttle,egt,cht,oil_temp,fault_active
0.5,3507.03,0.6004,830.07,383.41,168.94,False
1.0,3462.85,0.6007,829.03,381.71,166.48,False
1.5,3502.48,0.6011,831.55,384.13,168.72,False
2.0,3505.07,0.6015,841.72,383.05,165.5,False
2.5,3512.06,0.6019,831.56,384.45,167.17,False
3.0,3501.93,0.6022,833.23,385.65,167.02,False
3.5,3497.99,0.6026,835.14,383.74,168.11,False
4.0,3515.75,0.603,839.33,388.73,166.62,False
4.5,3498.19,0.6034,833.38,384.31,169.75,False
5.0,3507.09,0.6037,833.52,380.16,168.84,False
5.5,3525.17,0.6041,840.7,380.8,168.06,False
6.0,3513.57,0.6045,839.35,385.57,168.1,False
6.5,3525.75,0.6049,838.87,383.98,168.97,False
7.0,3483.96,0.6052,837.2,381.87,166.48,False
7.5,3508.53,0.6056,846.54,380.84,169.75,False
8.0,3481.31,0.606,837.67,384.09,169.04,False
8.5,3530.12,0.6064,843.58,382.72,167.0,False
9.0,3533.98,0.6067,838.92,380.1,165.71,False
9.5,3499.36,0.6071,842.63,384.52,169.41,False
10.0,3510.13,0.6075,841.21,386.13,167.46,False
10.5,3528.74,0.6078,837.38,383.32,167.37,False
11.0,3496.61,0.6082,843.39,383.16,168.22,False
11.5,3531.07,0.6086,843.45,386.73,168.05,False
12.0,3513.91,0.609,841.09,379.83,165.4,False
12.5,3496.85,0.6093,836.77,386.25,166.54,False
13.0,3516.66,0.6097,848.52,384.15,169.88,False
13.5,3506.47,0.6101,841.26,382.52,167.78,False
14.0,3542.86,0.6104,833.92,386.84,168.99,False
14.5,3515.09,0.6108,835.59,385.91,167.51,False
15.0,3532.54,0.6112,843.2,390.66,168.14,False
15.5,3508.33,0.6115,844.25,386.67,171.39,False
16.0,3546.42,0.6119,845.4,390.56,166.35,False
16.5,3517.83,0.6122,839.25,385.16,166.02,False
17.0,3544.23,0.6126,843.03,382.07,166.8,False
17.5,3538.71,0.613,848.6,392.63,174.71,False
18.0,3541.63,0.6133,839.72,380.41,169.47,False
18.5,3517.99,0.6137,842.85,385.12,168.7,False
19.0,3556.46,0.6141,845.98,386.64,166.97,False
19.5,3502.55,0.6144,843.02,387.11,172.63,False
20.0,3539.55,0.6148,850.63,385.93,166.77,False
20.5,3518.53,0.6151,842.35,393.97,167.55,False
21.0,3555.5,0.6155,841.72,390.53,170.02,False
21.5,3536.48,0.6158,846.29,385.93,170.19,False
22.0,3531.41,0.6162,840.62,384.21,169.69,False
22.5,3572.97,0.6166,847.8,387.85,169.97,False
