timestamp,rpm,throttle,egt,cht,oil_temp,fault_active
0.5,3002.69,0.453,716.43,315.23,146.21,False
1.0,2964.18,0.456,717.25,314.64,144.12,False
1.5,3009.46,0.459,721.62,318.17,146.73,False
2.0,3017.7,0.462,733.65,318.21,143.88,False
2.5,3030.34,0.465,725.35,320.72,145.93,False
3.0,3025.85,0.468,728.86,323.03,146.14,False
3.5,3027.55,0.471,732.62,322.23,147.61,False
4.0,3050.93,0.4739,738.65,328.32,146.49,False
4.5,3038.97,0.4769,734.54,325.02,149.98,False
5.0,3053.47,0.4799,736.52,321.96,149.45,False
5.5,3077.14,0.4829,745.54,323.7,149.03,False
6.0,3071.11,0.4858,746.02,329.57,149.43,False
6.5,3088.84,0.4888,747.35,329.08,150.67,False
7.0,3052.58,0.4917,747.5,328.05,148.54,False
7.5,3082.66,0.4946,758.66,328.11,152.17,False
8.0,3060.93,0.4975,751.58,332.44,151.82,False
8.5,3115.21,0.5004,759.29,332.15,150.14,False
9.0,3124.52,0.5033,756.42,330.6,149.21,False
9.5,3095.32,0.5062,761.91,336.08,153.27,False
10.0,3111.48,0.5091,762.26,338.76,151.67,False
10.5,3135.45,0.512,760.18,337.01,151.94,False
11.0,3108.66,0.5148,767.95,337.9,153.13,False
11.5,3148.42,0.5176,769.76,342.51,153.31,False
12.0,3136.53,0.5205,769.12,336.65,151.01,False
12.5,3124.71,0.5233,766.52,344.11,152.49,False
13.0,3149.72,0.526,779.98,343.02,156.17,False
13.5,3144.7,0.5288,774.42,342.42,154.41,False
14.0,3186.22,0.5316,768.77,347.74,155.96,False
14.5,3163.54,0.5343,772.11,347.82,154.81,False
15.0,3186.04,0.537,781.37,353.56,155.77,False
15.5,3166.84,0.5397,784.07,350.57,159.35,False
16.0,3209.89,0.5424,786.86,355.43,154.64,False
16.5,3186.22,0.545,782.32,351.0,154.64,False
17.0,3217.5,0.5476,787.71,348.88,155.73,False
17.5,3216.8,0.5502,794.86,360.39,163.96,False
18.0,3224.51,0.5528,787.56,349.11,159.04,False
18.5,3205.6,0.5554,792.25,354.76,158.58,False
19.0,3248.76,0.5579,796.91,357.2,157.15,False
19.5,3199.47,0.5604,795.48,358.59,163.12,False
20.0,3241.05,0.5629,804.59,358.31,157.57,False
20.5,3224.56,0.5654,797.8,367.24,158.64,False
21.0,3265.99,0.5678,798.64,364.69,161.4,False
21.5,3251.39,0.5702,804.67,360.96,161.87,False
22.0,3250.67,0.5726,800.43,360.1,161.66,False
22.5,3296.54,0.575,809.04,364.59,162.22,False
23.0,3296.2,0.5773,810.99,364.7,164.19,False
23.5,3283.71,0.5796,819.2,367.46,159.86,False
24.0,3252.77,0.5819,821.39,373.05,162.27,False
24.5,3277.39,0.5841,822.03,365.51,161.16,False
25.0,3302.79,0.5863,814.32,369.76,162.93,False
25.5,3301.47,0.5885,824.88,370.98,164.86,False
26.0,3258.44,0.5907,819.12,369.09,161.44,False
26.5,3286.54,0.5928,819.2,375.27,161.52,False
27.0,3309.3,0.5949,819.93,372.43,166.48,False
27.5,3323.96,0.5969,830.49,373.82,163.37,False
28.0,3313.17,0.5989,826.45,375.67,162.88,False
28.5,3323.82,0.6009,827.79,383.54,169.08,False
29.0,3309.24,0.6029,826.6,372.43,164.43,False
29.5,3336.83,0.6048,835.43,375.45,164.57,False
30.0,3291.72,0.6067,829.92,375.25,165.09,False
30.5,3321.19,0.6085,831.57,373.95,163.47,False
31.0,3385.3,0.6103,826.89,376.71,170.34,False
31.5,3404.72,0.6121,828.73,379.65,167.6,False
32.0,3385.02,0.6138,830.89,380.76,168.72,False
32.5,3362.88,0.6155,835.15,381.82,164.66,False
33.0,3353.09,0.6172,836.88,383.63,166.53,False
33.5,3370.86,0.6188,844.43,384.09,168.58,False
34.0,3365.99,0.6204,840.5,382.13,168.73,False
34.5,3366.39,0.622,852.07,389.68,169.09,False
35.0,3356.41,0.6235,837.11,389.18,169.06,False
35.5,3384.51,0.625,835.0,389.01,169.65,False
36.0,3355.85,0.6264,842.38,387.63,169.05,False
36.5,3375.29,0.6278,845.21,386.68,169.45,False
37.0,3413.54,0.6291,833.86,387.3,169.69,False
37.5,3392.92,0.6305,845.76,383.3,170.18,False
38.0,3424.35,0.6317,840.86,391.71,169.05,False
38.5,3391.28,0.633,844.14,388.64,172.48,False
39.0,3406.78,0.6342,858.91,393.68,170.93,False
39.5,3432.54,0.6353,853.26,393.12,169.62,False
40.0,3401.43,0.6364,848.36,394.08,168.01,False
40.5,3418.09,0.6375,851.65,395.08,172.02,False
41.0,3441.11,0.6385,856.99,387.28,170.53,False
41.5,3383.41,0.6395,851.44,396.95,172.08,False
42.0,3394.94,0.6404,849.63,392.92,168.51,False
42.5,3397.47,0.6413,856.89,396.67,172.28,False
43.0,3366.94,0.6422,857.46,393.78,172.02,False
43.5,3446.87,0.643,846.2,392.13,172.48,False
44.0,3384.6,0.6437,864.44,395.34,173.1,False
44.5,3406.41,0.6445,861.64,397.75,171.98,False
45.0,3424.01,0.6451,859.4,392.24,171.32,False
45.5,3417.66,0.6458,860.42,398.1,169.58,False
46.0,3419.52,0.6464,866.33,393.12,170.14,False
46.5,3427.26,0.6469,863.53,395.62,174.52,False
47.0,3441.46,0.6474,863.88,397.46,176.59,False
47.5,3421.23,0.6479,849.98,400.81,171.08,False
48.0,3428.4,0.6483,866.83,391.37,169.55,False
48.5,3395.03,0.6487,856.58,397.65,173.16,False
49.0,3433.29,0.649,853.72,389.54,172.26,False
49.5,3418.95,0.6493,863.27,398.69,172.47,False
50.0,3444.1,0.6495,862.29,398.28,170.82,False
50.5,3425.72,0.6497,862.26,399.23,171.47,False
51.0,3440.06,0.6498,860.05,396.48,173.94,False
51.5,3389.99,0.6499,854.97,392.43,167.62,False
52.0,3416.41,0.65,865.24,396.04,172.69,False
52.5,3451.78,0.65,868.14,396.69,175.01,False
53.0,3431.76,0.65,857.29,395.1,169.33,False
53.5,3411.98,0.6499,859.63,399.26,175.72,False
54.0,3401.82,0.6498,863.29,393.68,173.22,False
54.5,3426.47,0.6496,852.05,399.51,171.03,False
55.0,3417.94,0.6494,855.71,394.67,173.07,False
55.5,3424.26,0.6491,862.51,397.61,174.82,False
56.0,3420.52,0.6488,853.27,399.59,171.47,False
56.5,3448.9,0.6485,862.32,395.85,172.78,False
57.0,3464.76,0.6481,870.51,396.28,172.35,False
57.5,3446.3,0.6476,855.59,396.89,171.91,False
58.0,3429.99,0.6471,855.31,390.91,167.75,False
58.5,3400.21,0.6466,856.8,394.58,175.69,False
59.0,3443.42,0.646,853.88,396.26,170.92,False
59.5,3414.26,0.6454,859.18,396.81,170.97,False
60.0,3439.77,0.6448,852.08,394.69,176.75,False
60.5,3421.41,0.6441,904.45,394.65,172.62,True
61.0,3414.17,0.6433,895.9,391.72,172.21,True
61.5,3396.53,0.6425,899.52,396.97,171.97,True
62.0,3406.0,0.6417,897.87,392.44,172.99,True
62.5,3373.17,0.6408,893.3,387.02,168.01,True
63.0,3435.05,0.6399,898.8,390.44,167.86,True
63.5,3346.37,0.6389,890.93,399.45,171.6,True
64.0,3392.25,0.6379,895.26,387.07,169.99,True
64.5,3403.13,0.6369,891.76,393.68,171.13,True
65.0,3412.11,0.6358,887.97,393.54,173.54,True
65.5,3376.85,0.6347,886.17,394.37,169.74,True
66.0,3421.75,0.6335,887.56,394.23,170.22,True
66.5,3396.17,0.6323,896.74,388.26,167.9,True
67.0,3379.27,0.631,890.28,384.12,170.88,True
67.5,3374.61,0.6297,892.84,381.08,167.85,True
68.0,3348.72,0.6284,882.02,388.44,168.87,True
68.5,3374.35,0.627,884.38,387.72,167.02,True
69.0,3390.44,0.6256,887.48,387.66,169.95,True
69.5,3379.03,0.6241,893.31,385.62,168.01,True
70.0,3354.74,0.6226,876.91,381.51,166.64,True
70.5,3365.02,0.6211,882.66,384.75,166.67,True
71.0,3380.98,0.6195,883.57,383.44,166.67,True
71.5,3370.4,0.6179,879.67,378.89,167.61,True
72.0,3361.05,0.6163,873.06,383.1,164.6,True
72.5,3378.82,0.6146,882.6,381.06,168.0,True
73.0,3300.11,0.6129,869.35,380.2,164.88,True
73.5,3358.73,0.6111,883.87,376.8,165.1,True
74.0,3345.2,0.6093,880.67,375.9,167.02,True
