timestamp,rpm,throttle,egt,cht,oil_temp,fault_active
0.5,3883.59,0.751,939.28,448.94,190.78,False
1.0,3840.98,0.752,938.69,447.5,188.41,False
1.5,3882.16,0.753,941.66,450.19,190.74,False
2.0,3886.32,0.754,952.29,449.39,187.61,False
2.5,3894.87,0.755,942.58,451.06,189.37,False
3.0,3886.29,0.756,944.69,452.53,189.31,False
3.5,3883.92,0.757,947.06,450.89,190.5,False
4.0,3903.23,0.758,951.7,456.15,189.1,False
4.5,3887.22,0.759,946.2,452.01,192.31,False
5.0,3897.68,0.76,946.79,448.12,191.5,False
5.5,3917.31,0.761,954.42,449.03,190.81,False
6.0,3907.26,0.762,953.52,454.07,190.93,False
6.5,3920.99,0.763,953.49,452.76,191.89,False
7.0,3880.74,0.764,952.27,450.91,189.5,False
7.5,3906.86,0.7649,962.06,450.15,192.85,False
8.0,3881.17,0.7659,953.63,453.67,192.23,False
8.5,3931.52,0.7669,959.98,452.56,190.28,False
9.0,3936.92,0.7679,955.77,450.21,189.08,False
9.5,3903.83,0.7689,959.93,454.89,192.87,False
10.0,3916.12,0.7699,958.95,456.77,191.01,False
10.5,3936.25,0.7708,955.55,454.23,191.01,False
11.0,3905.64,0.7718,962.01,454.33,191.94,False
11.5,3941.61,0.7728,962.51,458.16,191.86,False
12.0,3925.96,0.7738,960.58,451.53,189.3,False
12.5,3910.4,0.7747,956.7,458.21,190.53,False
13.0,3931.71,0.7757,968.88,456.36,193.95,False
13.5,3923.01,0.7767,962.06,455.0,191.94,False
14.0,3960.9,0.7776,955.15,459.57,193.23,False
14.5,3934.61,0.7786,957.25,458.91,191.84,False
15.0,3953.53,0.7796,965.28,463.91,192.56,False
15.5,3930.79,0.7805,966.76,460.18,195.89,False
16.0,3970.34,0.7815,968.34,464.32,190.93,False
16.5,3943.22,0.7824,962.61,459.18,190.7,False
17.0,3971.07,0.7833,966.82,456.34,191.55,False
17.5,3966.99,0.7843,972.8,467.16,199.55,False
18.0,3971.36,0.7852,964.34,455.18,194.39,False
18.5,3949.15,0.7862,967.89,460.14,193.71,False
19.0,3989.05,0.7871,971.43,461.91,192.06,False
19.5,3936.55,0.788,968.88,462.63,197.8,False
20.0,3974.96,0.7889,976.9,461.69,192.03,False
20.5,3955.35,0.7899,969.02,469.97,192.89,False
21.0,3993.71,0.7908,968.8,466.78,195.43,False
21.5,3976.08,0.7917,973.77,462.42,195.69,False
22.0,3972.39,0.7926,968.5,460.94,195.27,False
