timestamp,rpm,throttle,egt,cht,oil_temp,fault_active
0.5,3633.59,0.651,866.78,405.44,176.28,False
1.0,3590.98,0.652,866.19,404.0,173.91,False
1.5,3632.16,0.653,869.16,406.69,176.24,False
2.0,3636.32,0.654,879.78,405.89,173.11,False
2.5,3644.87,0.655,870.08,407.56,174.87,False
3.0,3636.29,0.656,872.19,409.03,174.81,False
3.5,3633.91,0.657,874.56,407.39,175.99,False
4.0,3653.22,0.658,879.19,412.65,174.6,False
4.5,3637.21,0.659,873.69,408.5,177.81,False
5.0,3647.66,0.66,874.28,404.62,177.0,False
5.5,3667.28,0.661,881.92,405.52,176.3,False
6.0,3657.22,0.662,881.01,410.56,176.43,False
6.5,3670.94,0.6629,880.97,409.25,177.39,False
7.0,3630.68,0.6639,879.75,407.4,174.99,False
7.5,3656.78,0.6649,889.54,406.64,178.35,False
8.0,3631.08,0.6659,881.1,410.15,177.73,False
8.5,3681.41,0.6669,887.45,409.04,175.77,False
9.0,3686.78,0.6678,883.23,406.69,174.57,False
9.5,3653.67,0.6688,887.38,411.36,178.36,False
10.0,3665.94,0.6698,886.39,413.24,176.5,False
10.5,3686.03,0.6708,882.99,410.69,176.5,False
11.0,3655.39,0.6717,889.43,410.79,177.42,False
11.5,3691.33,0.6727,889.93,414.61,177.34,False
12.0,3675.64,0.6736,887.99,407.97,174.78,False
12.5,3660.03,0.6746,884.1,414.65,176.01,False
13.0,3681.3,0.6755,896.27,412.79,179.43,False
13.5,3672.55,0.6765,889.43,411.42,177.41,False
14.0,3710.39,0.6774,882.5,415.99,178.7,False
14.5,3684.04,0.6784,884.59,415.31,177.3,False
15.0,3702.91,0.6793,892.6,420.3,178.02,False
15.5,3680.11,0.6802,894.06,416.56,181.35,False
16.0,3719.59,0.6812,895.62,420.69,176.39,False
16.5,3692.39,0.6821,889.87,415.53,176.15,False
17.0,3720.17,0.683,894.05,412.69,177.0,False
17.5,3716.01,0.6839,900.01,423.48,184.99,False
18.0,3720.28,0.6848,891.53,411.49,179.83,False
18.5,3697.98,0.6857,895.05,416.44,179.14,False
19.0,3737.79,0.6866,898.56,418.19,177.48,False
19.5,3685.19,0.6875,895.99,418.89,183.22,False
20.0,3723.49,0.6884,903.97,417.94,177.44,False
20.5,3703.77,0.6892,896.06,426.2,178.3,False
21.0,3742.01,0.6901,895.81,422.99,180.83,False
21.5,3724.27,0.691,900.74,418.6,181.08,False
22.0,3720.44,0.6918,895.44,417.11,180.66,False
22.5,3763.24,0.6927,902.98,420.95,181.01,False
23.0,3759.89,0.6935,903.89,420.44,182.77,False
23.5,3744.43,0.6943,911.08,422.59,178.23,False
24.0,3710.57,0.6952,912.25,427.57,180.44,False
24.5,3732.32,0.696,911.9,419.44,179.13,False
25.0,3754.89,0.6968,903.21,423.1,180.71,False
