timestamp,rpm,throttle,egt,cht,oil_temp,fault_active
0.5,3507.34,0.6005,830.16,383.47,168.95,False
1.0,3463.48,0.601,829.21,381.82,166.51,False
1.5,3503.41,0.6015,831.82,384.29,168.77,False
2.0,3506.32,0.602,842.09,383.27,165.57,False
2.5,3513.62,0.6025,832.02,384.72,167.26,False
3.0,3503.8,0.603,833.77,385.97,167.13,False
3.5,3500.18,0.6035,835.77,384.12,168.24,False
4.0,3518.24,0.604,840.05,389.16,166.77,False
4.5,3500.99,0.6045,834.19,384.8,169.91,False
5.0,3510.2,0.605,834.42,380.7,169.02,False
5.5,3528.59,0.6055,841.7,381.39,168.26,False
6.0,3517.3,0.606,840.43,386.22,168.32,False
6.5,3529.78,0.6065,840.04,384.69,169.2,False
7.0,3488.3,0.607,838.46,382.62,166.73,False
7.5,3513.18,0.6075,847.89,381.65,170.02,False
8.0,3486.26,0.608,839.1,384.95,169.33,False
8.5,3535.37,0.6085,845.1,383.63,167.3,False
9.0,3539.54,0.609,840.53,381.07,166.03,False
9.5,3505.22,0.6094,844.33,385.53,169.75,False
10.0,3516.29,0.6099,842.99,387.2,167.82,False
10.5,3535.19,0.6104,839.25,384.44,167.75,False
11.0,3503.36,0.6109,845.35,384.34,168.61,False
11.5,3538.11,0.6114,845.5,387.95,168.46,False
12.0,3521.25,0.6119,843.22,381.11,165.83,False
12.5,3504.47,0.6124,838.98,387.58,166.98,False
13.0,3524.57,0.6129,850.82,385.52,170.34,False
13.5,3514.67,0.6133,843.64,383.95,168.26,False
14.0,3551.35,0.6138,836.38,388.31,169.48,False
14.5,3523.86,0.6143,838.14,387.44,168.01,False
15.0,3541.59,0.6148,845.82,392.23,168.66,False
15.5,3517.66,0.6153,846.95,388.3,171.93,False
16.0,3556.02,0.6157,848.19,392.23,166.9,False
16.5,3527.71,0.6162,842.11,386.88,166.6,False
17.0,3554.39,0.6167,845.98,383.84,167.39,False
17.5,3549.13,0.6171,851.62,394.45,175.31,False
18.0,3552.32,0.6176,842.82,382.27,170.09,False
18.5,3528.94,0.6181,846.03,387.03,169.34,False
19.0,3567.68,0.6185,849.23,388.59,167.62,False
19.5,3514.03,0.619,846.35,389.11,173.29,False
20.0,3551.28,0.6195,854.03,387.97,167.45,False
20.5,3530.52,0.6199,845.82,396.06,168.25,False
21.0,3567.74,0.6204,845.27,392.66,170.73,False
21.5,3548.98,0.6208,849.91,388.1,170.91,False
