timestamp,rpm,throttle,egt,cht,oil_temp,fault_active,egt_expected,cht_expected,res_egt,res_cht
0.5,3041.37,0.4105,702.35,292.73,136.92,False,698.37,299.02,3.98,-6.29
1.0,3040.34,0.4163,697.53,303.72,141.92,False,701.8,301.08,-4.27,2.64
1.5,3067.2,0.4231,702.48,305.17,139.44,False,707.22,304.33,-4.74,0.84
2.0,3093.14,0.4387,714.68,314.52,143.31,False,717.88,310.73,-3.2,3.79
2.5,3093.44,0.4331,715.84,309.65,143.66,False,714.53,308.72,1.31,0.93
3.0,3155.37,0.4662,733.96,324.67,149.86,False,737.49,322.49,-3.53,2.18
3.5,3111.24,0.4511,730.3,318.46,146.49,False,726.22,315.73,4.08,2.73
4.0,3134.7,0.4529,729.48,319.65,146.12,False,728.48,317.09,1.0,2.56
4.5,3190.08,0.4737,746.6,321.7,148.05,False,743.72,326.23,2.88,-4.53
5.0,3168.29,0.4695,747.87,321.64,150.02,False,740.11,324.07,7.76,-2.43
5.5,3164.84,0.4646,739.79,324.25,148.96,False,737.0,322.2,2.79,2.05
6.0,3230.08,0.4852,750.79,327.22,148.08,False,752.62,331.57,-1.83,-4.35
6.5,3219.34,0.4866,756.24,330.39,150.87,False,752.93,331.76,3.31,-1.37
7.0,3281.95,0.5091,765.81,340.38,153.06,False,769.56,341.73,-3.75,-1.35
7.5,3235.42,0.4979,761.06,338.04,153.09,False,760.51,336.31,0.55,1.73
8.0,3300.23,0.5235,779.12,342.65,153.01,False,779.11,347.47,0.01,-4.82
8.5,3284.17,0.5105,765.56,340.92,156.62,False,770.51,342.31,-4.95,-1.39
9.0,3298.65,0.5269,780.99,346.36,155.73,False,781.07,348.64,-0.08,-2.28
9.5,3372.7,0.5456,796.75,355.56,156.22,False,795.99,357.6,0.76,-2.04
10.0,3366.03,0.5445,794.91,361.68,158.48,False,795.0,357.0,-0.09,4.68
10.5,3354.72,0.5401,798.39,357.46,159.03,False,791.8,355.08,6.59,2.38
11.0,3415.8,0.5714,809.66,367.41,160.11,False,813.63,368.18,-3.97,-0.77
11.5,3394.34,0.5695,807.81,368.67,164.25,False,811.42,366.85,-3.61,1.82
12.0,3481.69,0.5894,822.34,369.98,165.99,False,827.72,376.63,-5.38,-6.65
12.5,3406.26,0.5674,810.66,370.02,162.59,False,810.75,366.45,-0.09,3.57
13.0,3416.43,0.58,818.05,372.13,167.63,False,818.82,371.29,-0.77,0.84
13.5,3461.94,0.5888,820.93,373.22,163.92,False,826.38,375.83,-5.45,-2.61
14.0,3553.14,0.6146,841.03,390.12,169.88,False,846.42,387.85,-5.39,2.27
